  0.0,  5.0,  0.0, 41.0,  2.0, 23.7, 92.6,926.6,55.4079519125,30.3054552945,  4.0,  1.0,  0.0
  0.0,  5.0,  0.0, 42.0,  2.0, 23.8, 93.0,951.6,43.2283290263,31.9890916998,  2.0,  1.0,  0.0
  0.0,  5.0,  0.0, 43.0,  2.0, 24.1, 93.3,969.3,33.3544106712,33.672728105,  1.0,  1.0,  0.0
  0.0,  5.0,  0.0, 44.0,  2.0, 24.3, 93.7,983.2,24.2955212113,35.3563645103,  0.0,  1.0,  0.0
  0.0,  5.0,  0.0, 45.0,  2.0, 24.5, 94.0,993.3,16.2854639362,37.0400009155,  0.0,  1.0,  0.0
  0.0,  5.0,  1.0,  0.0,  2.0, 16.4, 87.7,982.578502779,24.8991088867,83.3399963379,  0.0,  0.0,421.405317481
  0.0,  5.0,  1.0,  1.0,  2.0, 16.8, 88.2,982.2, 25.2,80.4907657917,  0.0,  0.0,404.918769183
  0.0,  5.0,  1.0,  2.0,  2.0, 17.2, 88.6,980.3, 26.4,77.6415352455,  0.0,  0.0,393.490231893
  0.0,  5.0,  1.0,  3.0,  2.0, 17.6, 89.0,979.2, 27.2,74.7923046992,  0.0,  0.0,390.709534012
  0.0,  5.0,  1.0,  4.0,  2.0, 18.1, 89.3,979.3, 27.1,71.943074153,  0.0,  0.0,373.595106257
  0.0,  5.0,  1.0,  5.0,  2.0, 18.7, 89.7,976.0, 29.2,69.0938436068,  1.0,  0.0,327.76350339
  0.0,  5.0,  1.0,  6.0,  2.0, 19.3, 90.0,972.5, 31.3,66.2446130606,  1.0,  0.0,271.480710698
  0.0,  5.0,  1.0,  7.0,  2.0, 19.8, 90.4,969.7, 33.1,63.3953825144,  1.0,  0.0,223.736346229
  0.0,  5.0,  1.0,  8.0,  2.0, 20.4, 90.7,968.5, 33.7,60.5461519681,  1.0,  0.0,165.163377425
  0.0,  5.0,  1.0,  9.0,  2.0, 20.9, 90.9,966.3, 35.0,57.6969214219,  1.0,  0.0,116.677560683
  0.0,  5.0,  1.0, 10.0,  2.0, 21.4, 91.0,960.7, 38.1,54.8476908757,  2.0,  0.0,68.7685854065
  0.0,  5.0,  1.0, 11.0,  2.0, 22.0, 91.1,957.2, 40.0,51.9984603295,  2.0,  0.0,10.1603566911
  0.0,  5.0,  1.0, 12.0,  2.0, 22.6, 91.2,957.4, 39.9,49.1492297833,  2.0,  0.0,0.496233763267
